x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,value,Timestamp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4917644873002378,111
2,0,3,2,2,0,1,1,0,1,2,1,3,1,1,0,1,1,3,0,0,1,2,0,-1.021847356422765,127
2,2,1,3,2,0,0,0,0,1,2,0,1,1,0,2,1,0,0,1,3,0,3,3,-0.433344466151256,143
0,2,1,1,0,1,2,0,3,3,0,3,1,3,3,1,3,2,1,1,3,2,1,3,-0.6689843636142736,160
1,0,1,1,3,3,3,1,0,3,0,3,1,2,1,1,1,3,3,1,2,3,0,0,-0.7275957726536071,177
3,0,1,3,1,1,2,0,1,1,1,3,3,0,1,2,1,3,3,1,3,2,2,3,-0.7275957726536071,196
1,1,0,2,2,0,3,2,0,3,2,3,0,2,3,0,3,0,1,3,2,2,3,2,-1.0218470791559582,212
1,3,1,0,1,2,3,3,1,0,0,3,1,3,2,2,3,0,2,2,0,3,0,0,-0.5395601872713146,228
3,1,1,3,3,0,1,1,0,3,3,0,2,2,2,3,1,3,3,2,1,2,0,0,-0.433344466151256,245
3,1,1,0,2,3,2,0,0,3,0,2,1,0,2,2,3,2,1,3,1,1,3,1,-0.4284676506886913,261
0,1,1,1,2,1,3,0,0,2,0,0,2,3,2,2,2,0,3,2,1,0,2,1,-0.4284679695754423,277
3,2,1,1,1,3,1,1,2,3,2,3,1,3,0,3,1,1,0,0,3,1,1,0,-0.7587815691279655,295
1,1,1,2,2,0,1,1,3,0,1,1,2,2,1,2,3,2,0,1,2,3,3,2,-0.6689846825010245,312
0,1,3,3,0,2,1,0,0,1,3,2,1,0,3,0,2,0,3,0,3,2,1,3,-0.4284679695754423,329
2,3,2,3,2,3,1,3,0,3,3,0,0,2,2,1,1,3,0,1,2,3,1,3,-0.7984085399572325,346
1,2,1,3,0,1,0,1,1,1,3,2,2,3,3,3,0,2,0,0,3,2,3,1,-1.0218470791559582,363
3,1,0,2,3,2,3,1,1,0,1,1,2,3,1,2,2,1,0,1,3,1,3,3,-0.433344466151256,380
2,1,1,2,3,1,3,0,3,0,1,1,1,0,1,1,1,3,2,1,1,0,1,1,-0.6964094313428484,397
1,0,3,3,3,0,0,2,1,1,3,0,0,1,3,2,1,1,3,0,0,3,1,2,-0.7396255427475764,414
3,3,2,1,1,3,2,3,0,2,3,3,0,2,2,3,0,3,3,2,3,3,1,2,-0.7275957726536071,431
1,3,1,2,3,1,2,2,1,0,2,2,0,0,1,3,0,0,3,0,2,3,1,2,-1.021847356422765,447
