x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,value,Timestamp
0,3,2,2,0,3,1,0,1,1,2,2,0,2,2,2,-4.6133754287869175,31
1,3,2,3,2,3,0,1,1,1,1,2,0,0,0,1,-4.384337868763828,45
0,3,1,0,1,3,2,2,0,0,1,0,1,1,0,0,-6.369236960413943,57
1,0,2,3,2,1,3,2,3,1,1,3,2,3,3,1,-4.99134903010928,72
2,0,1,0,0,3,1,3,1,2,3,3,1,1,0,0,-5.092048368425278,84
0,3,3,3,1,3,1,2,1,1,1,2,0,1,1,1,-4.844509088044406,99
2,1,0,1,0,3,0,3,0,1,3,2,2,2,0,3,-3.180800676447161,111
1,0,1,3,3,3,1,0,2,2,0,3,2,2,3,1,-4.683633835179146,125
0,0,2,3,3,0,1,1,3,2,1,3,1,1,3,3,-4.55545786916967,139
3,0,1,2,0,2,2,0,0,2,0,2,1,3,0,2,-4.998604668250714,150
0,2,2,3,0,2,1,3,2,3,2,3,3,2,0,2,-1.1576511544917483,164
1,1,0,3,0,3,0,1,1,2,2,1,2,2,3,2,-4.8475354816193255,178
2,2,3,0,3,0,3,3,3,2,3,2,2,2,1,3,-4.539047999044893,191
3,2,0,3,0,3,3,0,0,0,3,0,2,0,2,1,-5.089919508487075,203
3,1,1,1,2,2,0,0,2,0,0,2,1,1,0,1,-4.85343458240486,216
3,0,3,1,0,3,1,0,2,3,1,2,1,3,1,2,-4.808896795134085,229
2,2,2,2,0,0,1,2,2,3,2,3,3,1,1,2,-5.21498522990896,243
1,0,2,2,2,1,1,3,3,1,0,2,0,1,1,0,-3.1836349426269424,256
1,3,2,2,3,0,0,1,0,1,1,2,3,1,2,1,-4.655392849993778,269
1,0,2,2,3,1,2,3,0,3,0,1,2,1,3,1,-3.2602158506367265,283
0,3,0,1,3,1,0,1,2,1,3,3,1,3,1,1,-3.1821009381907963,296
2,2,1,3,0,0,0,1,3,0,1,1,1,0,1,3,-5.389819877028877,309
0,0,2,0,2,1,2,1,3,2,0,0,1,0,1,1,-2.0552249938816276,321
3,2,1,1,0,3,3,1,1,0,1,2,0,2,0,1,-5.227785770746666,335
0,3,1,0,2,0,3,3,0,0,3,0,1,2,3,2,-6.422486866326096,347
0,2,2,1,3,2,0,0,2,2,3,0,1,0,1,2,-3.824274883902933,360
1,0,3,2,1,3,0,1,1,0,2,3,3,1,1,0,-4.772757342909078,373
2,1,1,2,1,1,2,3,1,2,1,0,1,2,3,0,-4.824750750242024,387
3,3,1,3,2,2,0,2,3,3,1,0,2,3,3,2,-1.980658176618169,401
1,3,3,1,1,0,0,3,1,1,0,3,0,2,1,2,-4.718123503256761,416
3,2,1,3,1,3,0,3,3,3,0,0,0,3,0,0,-4.750210746786728,428
3,1,2,0,3,1,2,3,2,2,0,0,1,3,1,1,-4.350700760220893,442
2,3,3,3,2,1,0,3,2,3,2,2,0,1,0,1,-6.474103568056934,456
0,0,0,0,3,1,0,0,1,3,2,3,0,1,2,3,-3.228617942027194,468
0,3,1,1,1,2,1,0,0,1,0,0,2,0,3,0,-6.398093744373619,480
1,0,2,0,3,2,1,2,0,2,0,2,0,0,0,2,-4.132741461335932,492
0,3,0,1,3,1,1,0,2,0,1,2,2,1,0,2,-3.1821009381907963,505
2,1,2,2,3,2,0,0,2,1,2,2,2,1,1,3,-6.259324688359546,519
0,3,2,0,3,1,3,3,2,1,2,3,3,1,2,0,-3.1918357079535475,532
