x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,value,Timestamp
0,0,0,0,0,0,0,0,0,0,0,0,-1.0661086493179344,58
2,3,3,1,2,0,2,2,3,0,1,0,-0.5400662794919292,67
2,2,0,0,2,2,2,3,1,3,0,1,-0.5400662794919292,76
3,2,3,2,0,1,3,2,2,3,0,1,-0.5310513494337629,85
0,1,2,2,2,0,1,1,3,0,3,0,-0.5400662794919292,93
1,1,1,0,0,3,3,3,2,3,1,3,-0.7368568629773994,103
1,3,2,0,2,2,3,0,3,3,1,1,-0.8075949294340151,112
0,0,1,3,3,3,0,2,1,1,0,3,-0.5490812095500958,121
3,2,2,3,0,2,1,2,3,2,0,2,-0.2725376295498433,130
0,2,1,3,3,2,1,2,2,0,3,1,-0.5490812095500955,139
3,1,3,1,0,1,1,0,1,1,1,0,-0.5400662794919292,149
3,3,3,0,1,1,2,1,3,1,1,3,-0.5400662794919292,159
2,3,1,0,3,0,1,0,1,2,3,2,-0.7368568629773994,167
2,0,3,2,3,2,3,1,3,3,1,1,-0.5400662794919292,177
2,0,1,3,1,3,2,0,0,0,2,0,-0.343275696006459,185
3,0,3,0,3,1,0,3,0,2,2,3,-0.7368568629773994,194
3,1,2,1,3,0,2,1,1,0,1,3,-0.27253762954984356,203
0,2,1,1,0,3,1,0,1,3,1,3,-0.2725376295498433,212
2,1,1,1,2,2,3,1,1,2,1,0,-0.5400662794919292,221
1,2,3,2,3,3,1,2,2,2,2,2,-0.5400662794919292,231
3,2,2,3,0,1,0,0,1,2,1,1,-0.7458717930355657,240
2,1,2,0,3,3,3,2,3,2,1,2,-0.7368568629773994,250
3,1,3,3,0,2,3,1,3,0,1,3,-0.5400662794919292,259
0,3,2,1,3,1,2,2,3,1,1,0,-0.7458717930355657,268
2,2,1,1,0,3,3,2,3,3,3,3,-0.2725376295498433,278
1,3,0,0,2,3,0,3,0,3,3,2,-0.5400662794919292,287
2,3,3,0,1,3,2,2,3,3,1,3,-0.3342607659482927,296
2,2,2,1,1,1,2,3,0,3,1,2,-0.343275696006459,306
2,1,3,0,2,1,2,0,1,3,1,3,-0.5400662794919292,315
2,1,2,1,3,0,2,2,3,1,0,2,-0.5310513494337629,325
2,2,0,3,1,0,0,0,3,1,3,0,-0.5310513494337629,333
0,0,0,3,3,1,1,0,0,2,1,2,-0.7368568629773994,341
0,3,3,0,2,2,1,3,3,3,2,0,-0.5400662794919292,350
1,1,0,0,3,3,0,2,3,2,1,3,-0.8075949294340151,359
2,3,2,1,3,1,2,1,0,0,2,1,-0.5400662794919292,368
2,2,2,3,0,0,0,0,0,2,1,2,-0.5490812095500958,376
0,2,3,1,2,2,2,2,0,1,0,2,-0.27253762954984356,385
2,3,0,0,1,1,3,1,2,2,2,1,-0.35229062606462536,394
1,3,1,2,2,1,3,2,1,1,0,0,-0.727841932919233,403
0,2,2,1,2,3,2,3,0,3,1,1,-0.27253762954984356,412
0,3,2,2,2,2,0,0,3,2,2,0,-0.343275696006459,421
1,0,0,0,3,3,3,2,1,3,3,0,-0.343275696006459,430
2,1,1,2,3,1,2,3,2,2,3,0,-0.5490812095500955,439
1,3,1,3,1,2,1,0,1,1,0,3,-0.27253762954984356,449
1,0,1,1,3,1,2,1,2,3,2,0,-0.5310513494337629,458
1,0,2,1,2,1,3,3,3,1,2,0,-0.8075949294340148,467
